Caption,File Name in Drive,Drive File,Mime type,Link
Meeting the Taliban of Afghanistan 🇦🇫,MeetingTalibrosDay1Afghanistan.mp4,MeetingTalibrosDay1Afghanistan.mp4,video/mp4,https://drive.google.com/file/d/1h1Oi_kVb1tBHi_zWclP1pC2bXdH1vaEj/view?usp=sharing
This Country BANNED Music 🇦🇫,MusicBannedDay1Afghanistan.mp4,MusicBannedDay1Afghanistan.mp4,video/mp4,https://drive.google.com/file/d/1eBXOTUO8EdJPFdD2uq9AYURrfbeoTqk1/view?usp=sharing
6 Year Old Girl Hustles in Afghanistan 🇦🇫,GirlHustlingDay1Afghanistan.mp4,GirlHustlingDay1Afghanistan.mp4,video/mp4,https://drive.google.com/file/d/1_paecdc_5EJXcBtC8s6Ir5CmSpdS-cHb/view?usp=sharing
Taliban Member Spies on Me 🇦🇫,FittedClothingDay1Afghanistan.mp4,FittedClothingDay1Afghanistan.mp4,video/mp4,https://drive.google.com/file/d/1v3IKk27nhOrBivRh6bGP764X8UraK2Yn/view?usp=sharing
Afghanistan’s DEADLIEST Weapon 🇦🇫,CamerasDay1Afghanistan.mp4,CamerasDay1Afghanistan.mp4,video/mp4,https://drive.google.com/file/d/1_vHGef2TFc4tBuO2zFICon4aLv0p1S4n/view?usp=sharing
Getting Poisoned by the Taliban 🇦🇫,EatingOnionsDay1Afghanistan.mp4,EatingOnionsDay1Afghanistan.mp4,video/mp4,https://drive.google.com/file/d/1AsrRtds8hBkJIDJCkRETmmG7Kzp6JQsR/view?usp=sharing
Sneako Calls the Taliban 🇦🇫,SneakoCallDay1Afghanistan.mp4,SneakoCallDay1Afghanistan.mp4,video/mp4,https://drive.google.com/file/d/1wEvnkybKBwgsyooQJlgxLBzEeKdHu4Ne/view?usp=sharing
Women Have Rights in Afghanistan 🇦🇫,WomenRightsDay1Afghanistan.mp4,WomenRightsDay1Afghanistan.mp4,video/mp4,https://drive.google.com/file/d/1K4pRUbl3UWAhTKwLgAs58KDe-EakUqm0/view?usp=sharing
Taliban Converts Me to Islam 🇦🇫,ConvertedDay1Afghanistan.mp4,ConvertedDay1Afghanistan.mp4,video/mp4,https://drive.google.com/file/d/1B_htrYLogHSAvWV_9-5_YN0vzlVICheb/view?usp=sharing
Taliban Tries to Recruit Me 🇦🇫,RecruitedDay1Afghanistan.mp4,RecruitedDay1Afghanistan.mp4,video/mp4,https://drive.google.com/file/d/1vLtz_w-RhcfFhQIRR9bbhFOTeqQ3qPKK/view?usp=sharing
The Taliban on Donald Trump 🇦🇫,TrumpDay1Afghanistan.mp4,TrumpDay1Afghanistan.mp4,video/mp4,https://drive.google.com/file/d/17rXfntDCUAgaxh73UHFJ6AM2iIsTNgXz/view?usp=sharing
How the Taliban Raises Kids 🇦🇫,KidsDay1Afghanistan.mp4,KidsDay1Afghanistan.mp4,video/mp4,https://drive.google.com/file/d/1mvdVXO5U7xubep_ri9s_APYURqLrvtvo/view?usp=sharing
The Taliban on 9/11 🇦🇫,9/11Day1Afghanistan.mp4,9/11Day1Afghanistan.mp4,video/mp4,https://drive.google.com/file/d/1bZF6HwC9umWFZdjZsGUEqPnjqtYLosUu/view?usp=sharing
The Taliban Trades Memecoins 🇦🇫,MemecoinsDay1Afghanistan.mp4,MemecoinsDay1Afghanistan.mp4,video/mp4,https://drive.google.com/file/d/1xlX8FnV5yGTJwa6FiOs4AtkVo8mH40Aw/view?usp=sharing
Eating Dinner with the Taliban 🇦🇫,EatingDinnerDay1Afghanistan.mp4,EatingDinnerDay1Afghanistan.mp4,video/mp4,https://drive.google.com/file/d/1x5mJDn2MALvXo7bI36eyC3gOnC3pe8tV/view?usp=sharing
Afghanistan’s Strongest Man 🇦🇫,StrongGuyDay2Afghanistan.mp4,StrongGuyDay2Afghanistan.mp4,video/mp4,https://drive.google.com/file/d/1cBXvnZkM6P5BOMbYDLF41ByiKgqaZUaK/view?usp=sharing
The Truth About Women in Afghanistan 🇦🇫,SpinachDay2Afghanistan.mp4,SpinachDay2Afghanistan.mp4,video/mp4,https://drive.google.com/file/d/1wXHHWABFG-uqNl9_YfQyxWrnB8WjRMcz/view?usp=sharing
Kidnapped by the Taliban 🇦🇫,KidnappedDay2Afghanistan.mp4,KidnappedDay2Afghanistan.mp4,video/mp4,https://drive.google.com/file/d/1LHAz922tljXkp3rLB2-lyE73mCMmpblK/view?usp=sharing
Entering a Taliban Military Base 🇦🇫,MosqueDay2Afghanistan.mp4,MosqueDay2Afghanistan.mp4,video/mp4,https://drive.google.com/file/d/1CSXjTFqKtBCBwGXO1IidXLrWigtvYkJR/view?usp=sharing
Arrested by the Taliban 🇦🇫,FlagDay2Afghanistan.mp4,FlagDay2Afghanistan.mp4,video/mp4,https://drive.google.com/file/d/1kJDhxuXwCmbIIDYuxjaKJDQD3llmyASL/view?usp=sharing
