id,name,iso,emoji,emoji_code
1,Afghanistan,AFG,🇦🇫,U+1F1E6 U+1F1EB
2,Aland Islands,ALA,🇦🇽,U+1F1E6 U+1F1FD
3,Albania,ALB,🇦🇱,U+1F1E6 U+1F1F1
4,Algeria,DZA,🇩🇿,U+1F1E9 U+1F1FF
5,American Samoa,ASM,🇦🇸,U+1F1E6 U+1F1F8
6,Andorra,AND,🇦🇩,U+1F1E6 U+1F1E9
7,Angola,AGO,🇦🇴,U+1F1E6 U+1F1F4
8,Anguilla,AIA,🇦🇮,U+1F1E6 U+1F1EE
9,Antarctica,ATA,🇦🇶,U+1F1E6 U+1F1F6
10,Antigua and Barbuda,ATG,🇦🇬,U+1F1E6 U+1F1EC
11,Argentina,ARG,🇦🇷,U+1F1E6 U+1F1F7
12,Armenia,ARM,🇦🇲,U+1F1E6 U+1F1F2
13,Aruba,ABW,🇦🇼,U+1F1E6 U+1F1FC
14,Australia,AUS,🇦🇺,U+1F1E6 U+1F1FA
15,Austria,AUT,🇦🇹,U+1F1E6 U+1F1F9
16,Azerbaijan,AZE,🇦🇿,U+1F1E6 U+1F1FF
18,Bahrain,BHR,🇧🇭,U+1F1E7 U+1F1ED
19,Bangladesh,BGD,🇧🇩,U+1F1E7 U+1F1E9
20,Barbados,BRB,🇧🇧,U+1F1E7 U+1F1E7
21,Belarus,BLR,🇧🇾,U+1F1E7 U+1F1FE
22,Belgium,BEL,🇧🇪,U+1F1E7 U+1F1EA
23,Belize,BLZ,🇧🇿,U+1F1E7 U+1F1FF
24,Benin,BEN,🇧🇯,U+1F1E7 U+1F1EF
25,Bermuda,BMU,🇧🇲,U+1F1E7 U+1F1F2
26,Bhutan,BTN,🇧🇹,U+1F1E7 U+1F1F9
27,Bolivia,BOL,🇧🇴,U+1F1E7 U+1F1F4
155,"Bonaire, Sint Eustatius and Saba",BES,🇧🇶,U+1F1E7 U+1F1F6
28,Bosnia and Herzegovina,BIH,🇧🇦,U+1F1E7 U+1F1E6
29,Botswana,BWA,🇧🇼,U+1F1E7 U+1F1FC
30,Bouvet Island,BVT,🇧🇻,U+1F1E7 U+1F1FB
31,Brazil,BRA,🇧🇷,U+1F1E7 U+1F1F7
32,British Indian Ocean Territory,IOT,🇮🇴,U+1F1EE U+1F1F4
33,Brunei,BRN,🇧🇳,U+1F1E7 U+1F1F3
34,Bulgaria,BGR,🇧🇬,U+1F1E7 U+1F1EC
35,Burkina Faso,BFA,🇧🇫,U+1F1E7 U+1F1EB
36,Burundi,BDI,🇧🇮,U+1F1E7 U+1F1EE
