title,description,link,platform,publish_at,country,location,categories
Garden of Weeden (Original Cut) Banned on YouTube,"This is the raw, unfiltered truth about South Africa's underground weed culture that mainstream platforms couldn't handle. The Garden of Weeden isn't just a place; it's an experience—a world where laws are bent, secrets are currency, and survival means pushing boundaries every day. I went in deep, exposing every angle of the scene: the dealers, the growers, and the people who rely on this plant in ways most people can't imagine. This is not some pretty Instagram filter; it's gritty, real, and yes, it’s provocative.

You think you know what goes on behind the scenes? Watch this. Viewer discretion? Forget it—this isn't meant for the faint-hearted.",https://rumble.com/v34z6p0-garden-of-weeden-original-cut-banned-on-youtube.html,rumble,"May 27, 2023",South Africa,Cape Town,"Travel, Social Issues, Religion, Crime, Adventure"
Walking Through Cracolândia (Unblurred Full),"Cracolândia isn't just a neighborhood—it's survival on the edge. This place doesn’t follow the rules, and every step feels like stepping into a different reality. Here, addiction, poverty, and resilience collide in the harshest way. Walking these streets isn’t for the faint-hearted; it’s raw, unfiltered, and unapologetic. The people here live lives most wouldn’t dare to imagine, holding on with a strength that defies everything they face daily.

This is Brazil beyond the beaches, beyond the carnival—a place where the brutal side of life is laid bare. Viewer discretion? Forget it. This is Cracolândia, and it’s a reality check.",https://rumble.com/v34z60i-walking-through-cracolndia-unblurred-full.html,rumble,"May 27, 2023",Brazil,São Paulo ,"Danger, Crime, Adventure, Humanisation, Religion"
Cracolândia Extended Cut,"Cracolândia, up close and uncut. This isn’t the Brazil you see on postcards—it’s a world where the rules are survival, and every face tells a story of struggle. In these streets, people move through shadows, holding onto whatever they can to make it through one more day. It’s gritty, relentless, and anything but easy.

This extended cut goes deeper into the chaos and the resilience, showing a side of São Paulo most would rather ignore. Here, life is raw, real, and brutally honest. Cracolândia isn’t just a place; it’s a battleground, and every step feels like a test. This is as real as it gets.",https://rumble.com/v34t26m-cracolandia-extended-cut.html,rumble,"May 27, 2023",Brazil,São Paulo ,"Culture, Religion, Interviews, Crime, Humanisation"
Buying an African Wife (Full Negotiation),"In the heart of Africa, traditions run deep, and marriage isn’t just between two people—it’s a cultural negotiation that carries generations of history and expectation. This isn’t some modern love story; it’s a complex, high-stakes exchange where every word, every gesture holds weight. What I experienced wasn’t just a conversation—it was a glimpse into a world where respect, honor, and family are everything.

This isn’t the Africa shown in travel guides. It’s real, raw, and unapologetically traditional. Here, relationships are built on values most of the world has forgotten. This is a journey into the core of culture, where love and legacy meet.",https://rumble.com/v34z4nw-buying-an-african-wife-full-negotiation.html,rumble,"May 28, 2023",Kenya,Nairobi,"Adventure, Social Issues, Documentary, Travel, Danger"
Brazilians Try To Scam Gringo in Billiards Wager (Full Match),"In São Paulo, a pool match isn’t just a game—it’s a test of skill, pride, and hustle. This isn’t your average bar table; here, every shot has a purpose, and every move tells a story. The stakes might seem small, but for the people around this table, it’s a matter of respect and reputation.

The energy is intense, and you can feel the weight of each turn, each challenge. It’s raw competition, stripped of anything fancy, where skill is the only currency that matters. This is São Paulo’s underbelly—where games aren’t just games, and every player has something to prove.",https://rumble.com/v34secq-full-pool-match-sao-paulo.html,rumble,"May 30, 2023",Brazil,São Paulo ,"Culture, Religion, Travel, Adventure, Interviews"
8 Story Brothel in São Paulo,"Inside São Paulo’s infamous 8-story brothel, every floor is a different world. This isn’t just a building—it’s a labyrinth of secrets, survival, and stories few dare to tell. Each level has its own hustle, its own code, and for the people here, every night is a battle to make it through. This place is raw, unapologetic, and far from glamorous.

Behind closed doors, lives intersect in ways outsiders can barely imagine, driven by necessity and resilience. It’s a side of São Paulo that goes unseen, a reality most would rather ignore. This is as real as it gets—no filters, no pretenses, just survival in its purest form.",https://rumble.com/v34z300-8-story-brothel-in-so-paulo.html,rumble,"May 30, 2023",Brazil,São Paulo ,"Interviews, Religion, Danger, Documentary, Culture"
Getting Out the Friend Zone in Brazil (arabuncut EXCLUSIVE),"Getting out of the friend zone in Brazil isn’t your typical love story. Here, relationships are layered with culture, expectations, and unspoken codes. Every interaction, every look carries meaning that goes way beyond words. It’s not about charm—it’s about understanding a whole new set of rules, ones that are deep-rooted and respected.

In Brazil, love and friendship are part of a dance where timing, respect, and patience are everything. This isn’t a rom-com moment; it’s the real deal, where getting close means understanding a culture that’s intense, passionate, and unlike anything else.",https://rumble.com/v34yzwe-getting-out-the-friend-zone-in-brazil.html,rumble,"May 30, 2023",Brazil,São Paulo ,"Exploration, Humanisation, Danger, Religion, Social Issues"
Nigeria’s Black Water Slum (Full Boat Tour),"Makoko, Nigeria’s floating slum, is a world built on water, where survival isn’t just a skill—it’s a necessity. Taking a boat through these narrow canals, you see a side of life that’s raw, intense, and entirely unique. People here have adapted to an environment that defies logic, creating homes and communities on the water with resilience that’s hard to imagine.

This isn’t a scenic tour; it’s a look at life where every wave, every makeshift structure is a testament to human strength and ingenuity. Makoko doesn’t fit the mold—it breaks it, showing survival at its most real and relentless. This is Makoko, unfiltered and unforgettable.",https://rumble.com/v34swr0-full-boat-tour-arabuncut-makoko.html,rumble,"June 8, 2023",Nigeria,Makoko,"Crime, Humanisation, Social Issues, Travel, Interviews"
$3 Brothel in Nigeria Floating Slum,"In the depths of Nigeria’s floating slum, a hidden world thrives—a brothel unlike any other, built on water and surrounded by the struggle of everyday survival. This isn’t just about a place; it’s about the lives that intersect here, where resilience and hardship meet in ways few can imagine. Every interaction, every whispered deal, tells a story of survival against all odds.

The floating slum isn’t glamorous—it’s raw, gritty, and unapologetically real. This is where people adapt to challenges most would shy away from, creating a life on water that defies convention. Welcome to a side of Nigeria that reveals the strength it takes to live beyond the edge.",https://rumble.com/v34yrqm-3-brothel-in-nigeria-floating-slum.html,rumble,"June 8, 2023",Nigeria,Makoko,"Danger, Culture, Documentary, Social Issues, Religion"
"Rat Poison Smoke Sesh in Makoko, Nigeria (FULL)","Makoko, Nigeria’s floating slum, is no stranger to harsh realities, but what I witnessed here goes beyond the usual struggles. A smoke sesh with rat poison? This isn’t some twisted thrill—it’s survival on the edge. People here are pushed to extremes that outsiders can barely comprehend, finding ways to cope in an environment that offers few comforts and endless challenges.

This is life in Makoko: raw, dangerous, and anything but ordinary. It’s a world where every day is a battle, where resilience takes on a whole new meaning. This isn’t filtered or glamorized—it’s the brutal truth of life on the fringes, uncut and unapologetic.",https://rumble.com/v34yu9s-rat-poison-smoke-sesh-in-makoko-nigeria-full.html,rumble,"June 8, 2023",Nigeria,Makoko,"Documentary, Travel, Crime, Adventure, Humanisation"
