title,link,publish_at
America is Falling,https://www.youtube.com/shorts/eJe04iaYoWE,"November 19, 2024"
Women are Useless Now,https://www.youtube.com/shorts/hQAYs9CvcuQ,"November 18, 2024"
I'm Leaving America Forever,https://www.youtube.com/shorts/mp491bL8BQM,"November 18, 2024"
The Dark Side of Asia,https://www.youtube.com/shorts/cW91qzbiFZE,"November 9, 2024"
Black People Exist in Asia Apparently,https://www.youtube.com/shorts/M9CedfIQ7EE,"November 8, 2024"
How Dealers in Asia Work,https://www.youtube.com/shorts/6AlYsbo2_OU,"November 8, 2024"
Inside the Secret Rituals of Buddhism,https://www.youtube.com/shorts/WqvO5z0Gals,"November 7, 2024"
The Man Who is Addicted to Tea,https://www.youtube.com/shorts/8R6AsIGv_5o,"November 6, 2024"
40% Off Ancient Jewelry Bargain,https://www.youtube.com/shorts/wCiAz5TT9aY,"November 6, 2024"
30% Off Sword Bargain in Taiwan,https://www.youtube.com/shorts/2qxVXueyJ0I,"November 5, 2024"
Accidentally Destroying $1000 Art Piece,https://www.youtube.com/shorts/ZZ9adLoYYw0,"November 5, 2024"
Avoiding Scammers in Taiwan,https://www.youtube.com/shorts/iT35SqmU4Vc,"November 4, 2024"
World’s Strongest Old People,https://www.youtube.com/shorts/bG0woYFGWSM,"November 4, 2024"
Every Country Steals From America,https://www.youtube.com/shorts/cYms-2oysro,"November 3, 2024"
Asian Girl SHOWERS Me,https://www.youtube.com/shorts/HgOH7b-sAD8,"November 3, 2024"
How Asian Barbers Work,https://www.youtube.com/shorts/HNXEU9W1Zvs,"November 2, 2024"
Arab and Jew Solve World Peace,https://www.youtube.com/shorts/ihY9Sl7l4Vo,"November 1, 2024"
How to Rizz Asian Girls,https://www.youtube.com/shorts/Em0hM6raMmc,"November 1, 2024"
I Fought the Triads in Taiwan,https://www.youtube.com/shorts/22HnsDgynnQ,October 31 2024
Exposing America’s Healthcare System,https://www.youtube.com/shorts/tuCaRAv7LfA,October 31 2024
The Dark Truth About WW3,https://www.youtube.com/shorts/oBiANm_UhgM,October 18 2024
I Visited a Warzone,https://www.youtube.com/shorts/p0z_DoeJKyQ,October 17 2024
I Got BANNED From America,https://www.youtube.com/shorts/5gZ1dqVkDo8,October 17 2024
Meet the Druze Community of Lebanon,https://www.youtube.com/shorts/Jd0Efq7th_o,October 16 2024
RPG Explosions in Lebanon,https://www.youtube.com/shorts/rdP_BSGNdxw,October 13 2024
$0.50 Fruit Stand in Lebanon,https://www.youtube.com/shorts/LgOKnWdyU78,October 12 2024
Syrians Escaping to Lebanon,https://www.youtube.com/shorts/gPfg2avO3jc,"October 11, 2024"
Buying Fake Shoes in Lebanon,https://www.youtube.com/shorts/VKRu5OF65TI,"October 11, 2024"
Lebanon’s War Defense Castle,https://www.youtube.com/shorts/EnnfGF4WH8U,"October 10, 2024"
Giving Salesmen 250x Their Price,https://www.youtube.com/shorts/iQxg9nA9ay4,"October 10, 2024"
Helping the Homeless in Lebanon,https://www.youtube.com/shorts/3lRDrzAqNa4,"October 9, 2024"
Followed by Beggar in Lebanon,https://www.youtube.com/shorts/AieJGwaKIOQ,"October 9, 2024"
Money is FAKE,https://www.youtube.com/shorts/viLrKMR3ntQ,"October 8, 2024"
Blessing the Children of Lebanon,https://www.youtube.com/shorts/sDx4dkaidDI,"October 8, 2024"
Arab Blows Up Car,https://www.youtube.com/shorts/Y9yoHdFkYQo,"October 7, 2024"
